sku_id,product_id
0,2
0,40
0,45
1,51
1,54
1,55
1,64
1,72
1,78
2,103
2,104
2,109
2,126
2,130
2,146
3,152
3,177
3,182
3,190
3,192
4,204
4,209
4,224
4,236
4,237
4,245
5,250
5,268
5,278
5,280
5,285
5,287
5,295
6,311
6,319
6,330
6,331
6,333
6,334
7,351
7,380
7,392
7,395
8,441
8,442
8,447
9,456
9,466
9,482
9,489
9,490
9,497
10,505
10,514
10,527
10,537
10,546
11,550
11,556
11,563
11,582
11,585
11,590
12,618
12,648
13,667
13,673
14,744
15,759
15,767
15,775
15,786
15,788
16,800
16,811
16,818
16,834
16,837
17,850
17,852
17,858
17,859
17,862
17,882
17,895
18,939
19,962
19,999
20,1000
20,1021
20,1037
20,1043
21,1072
21,1074
21,1075
21,1080
21,1087
21,1091
21,1094
21,1098
22,1107
22,1111
22,1112
22,1125
22,1126
22,1149
23,1154
23,1162
23,1165
23,1173
23,1174
23,1175
23,1180
23,1186
24,1214
24,1217
24,1222
24,1227
24,1238
24,1248
25,1264
25,1266
25,1278
26,1306
26,1313
26,1320
27,1351
27,1367
27,1370
28,1411
28,1413
28,1417
28,1434
28,1439
28,1446
29,1450
29,1452
29,1461
29,1466
29,1487
29,1490
29,1492
29,1496
29,1498
30,1511
30,1512
30,1546
31,1550
31,1557
31,1558
31,1562
31,1566
31,1567
31,1572
31,1577
31,1593
32,1603
32,1611
32,1612
32,1620
32,1622
32,1637
33,1679
34,1701
34,1731
34,1744
34,1749
35,1752
35,1770
35,1774
35,1790
35,1797
35,1799
36,1805
36,1806
36,1808
36,1824
37,1850
37,1870
37,1875
37,1878
37,1885
37,1886
37,1894
38,1900
38,1911
38,1912
38,1919
38,1929
39,1963
39,1983
39,1986
40,2004
40,2025
40,2033
40,2046
41,2055
41,2076
41,2082
41,2083
41,2088
41,2089
41,2092
42,2100
42,2109
42,2111
42,2119
42,2130
42,2148
43,2155
43,2168
43,2171
44,2200
44,2207
44,2215
44,2226
44,2228
