id,shop_id,name
0,8,'product_name_0'
1,95,'product_name_1'
2,49,'product_name_2'
3,50,'product_name_3'
4,37,'product_name_4'
5,74,'product_name_5'
6,10,'product_name_6'
7,33,'product_name_7'
8,55,'product_name_8'
9,14,'product_name_9'
10,67,'product_name_10'
11,15,'product_name_11'
12,32,'product_name_12'
13,27,'product_name_13'
14,13,'product_name_14'
15,48,'product_name_15'
16,19,'product_name_16'
17,62,'product_name_17'
18,51,'product_name_18'
19,63,'product_name_19'
20,63,'product_name_20'
21,78,'product_name_21'
22,43,'product_name_22'
23,4,'product_name_23'
24,32,'product_name_24'
25,48,'product_name_25'
26,91,'product_name_26'
27,10,'product_name_27'
28,8,'product_name_28'
29,5,'product_name_29'
30,97,'product_name_30'
31,20,'product_name_31'
32,47,'product_name_32'
33,67,'product_name_33'
34,73,'product_name_34'
35,97,'product_name_35'
36,95,'product_name_36'
37,37,'product_name_37'
38,53,'product_name_38'
39,77,'product_name_39'
40,2,'product_name_40'
41,38,'product_name_41'
42,32,'product_name_42'
43,63,'product_name_43'
44,98,'product_name_44'
45,49,'product_name_45'
46,82,'product_name_46'
47,36,'product_name_47'
48,4,'product_name_48'
49,18,'product_name_49'
50,37,'product_name_50'
51,24,'product_name_51'
52,56,'product_name_52'
53,58,'product_name_53'
54,5,'product_name_54'
55,32,'product_name_55'
56,85,'product_name_56'
57,27,'product_name_57'
58,99,'product_name_58'
59,53,'product_name_59'
60,14,'product_name_60'
61,72,'product_name_61'
62,13,'product_name_62'
63,12,'product_name_63'
64,93,'product_name_64'
65,55,'product_name_65'
66,63,'product_name_66'
67,10,'product_name_67'
68,15,'product_name_68'
69,44,'product_name_69'
70,1,'product_name_70'
71,9,'product_name_71'
72,26,'product_name_72'
73,84,'product_name_73'
74,37,'product_name_74'
75,77,'product_name_75'
76,23,'product_name_76'
77,61,'product_name_77'
78,16,'product_name_78'
79,46,'product_name_79'
80,37,'product_name_80'
81,81,'product_name_81'
82,75,'product_name_82'
83,68,'product_name_83'
84,20,'product_name_84'
85,16,'product_name_85'
86,65,'product_name_86'
87,96,'product_name_87'
88,47,'product_name_88'
89,16,'product_name_89'
90,50,'product_name_90'
91,16,'product_name_91'
92,70,'product_name_92'
93,75,'product_name_93'
94,81,'product_name_94'
95,31,'product_name_95'
96,81,'product_name_96'
97,48,'product_name_97'
98,53,'product_name_98'
99,26,'product_name_99'
100,96,'product_name_100'
101,86,'product_name_101'
102,69,'product_name_102'
103,80,'product_name_103'
104,34,'product_name_104'
105,32,'product_name_105'
106,74,'product_name_106'
107,13,'product_name_107'
108,36,'product_name_108'
109,10,'product_name_109'
110,33,'product_name_110'
111,43,'product_name_111'
112,31,'product_name_112'
113,53,'product_name_113'
114,66,'product_name_114'
115,66,'product_name_115'
116,13,'product_name_116'
117,51,'product_name_117'
118,56,'product_name_118'
119,80,'product_name_119'
120,15,'product_name_120'
121,51,'product_name_121'
122,17,'product_name_122'
123,45,'product_name_123'
124,27,'product_name_124'
125,88,'product_name_125'
126,63,'product_name_126'
127,38,'product_name_127'
128,6,'product_name_128'
129,3,'product_name_129'
130,50,'product_name_130'
131,8,'product_name_131'
132,0,'product_name_132'
133,14,'product_name_133'
134,34,'product_name_134'
135,18,'product_name_135'
136,24,'product_name_136'
137,58,'product_name_137'
138,21,'product_name_138'
139,82,'product_name_139'
140,57,'product_name_140'
141,40,'product_name_141'
142,23,'product_name_142'
143,49,'product_name_143'
144,49,'product_name_144'
145,56,'product_name_145'
146,90,'product_name_146'
147,4,'product_name_147'
148,23,'product_name_148'
149,95,'product_name_149'
150,41,'product_name_150'
151,41,'product_name_151'
152,66,'product_name_152'
153,47,'product_name_153'
154,67,'product_name_154'
155,25,'product_name_155'
156,39,'product_name_156'
157,32,'product_name_157'
158,91,'product_name_158'
159,39,'product_name_159'
160,1,'product_name_160'
161,92,'product_name_161'
162,52,'product_name_162'
163,56,'product_name_163'
164,10,'product_name_164'
165,97,'product_name_165'
166,27,'product_name_166'
167,9,'product_name_167'
168,96,'product_name_168'
169,23,'product_name_169'
170,28,'product_name_170'
171,45,'product_name_171'
172,13,'product_name_172'
173,78,'product_name_173'
174,91,'product_name_174'
175,65,'product_name_175'
176,68,'product_name_176'
177,29,'product_name_177'
178,78,'product_name_178'
179,93,'product_name_179'
180,27,'product_name_180'
181,94,'product_name_181'
182,54,'product_name_182'
183,49,'product_name_183'
184,94,'product_name_184'
185,29,'product_name_185'
186,28,'product_name_186'
187,66,'product_name_187'
188,29,'product_name_188'
189,36,'product_name_189'
190,17,'product_name_190'
191,64,'product_name_191'
192,74,'product_name_192'
193,50,'product_name_193'
194,65,'product_name_194'
195,97,'product_name_195'
196,72,'product_name_196'
197,93,'product_name_197'
198,97,'product_name_198'
199,77,'product_name_199'
200,93,'product_name_200'
201,2,'product_name_201'
202,3,'product_name_202'
203,1,'product_name_203'
204,8,'product_name_204'
205,84,'product_name_205'
206,27,'product_name_206'
207,18,'product_name_207'
208,22,'product_name_208'
209,48,'product_name_209'
210,33,'product_name_210'
211,94,'product_name_211'
212,72,'product_name_212'
213,49,'product_name_213'
214,64,'product_name_214'
215,84,'product_name_215'
216,10,'product_name_216'
217,22,'product_name_217'
218,21,'product_name_218'
219,91,'product_name_219'
220,76,'product_name_220'
221,80,'product_name_221'
222,78,'product_name_222'
223,32,'product_name_223'
224,3,'product_name_224'
225,11,'product_name_225'
226,85,'product_name_226'
227,30,'product_name_227'
228,20,'product_name_228'
229,34,'product_name_229'
230,1,'product_name_230'
231,36,'product_name_231'
232,4,'product_name_232'
233,70,'product_name_233'
234,58,'product_name_234'
235,51,'product_name_235'
236,6,'product_name_236'
237,94,'product_name_237'
238,87,'product_name_238'
239,87,'product_name_239'
240,66,'product_name_240'
241,32,'product_name_241'
242,72,'product_name_242'
243,75,'product_name_243'
244,20,'product_name_244'
245,95,'product_name_245'
246,6,'product_name_246'
247,44,'product_name_247'
248,80,'product_name_248'
249,63,'product_name_249'
250,18,'product_name_250'
251,19,'product_name_251'
252,46,'product_name_252'
253,71,'product_name_253'
254,97,'product_name_254'
255,46,'product_name_255'
256,87,'product_name_256'
257,80,'product_name_257'
258,93,'product_name_258'
259,30,'product_name_259'
260,97,'product_name_260'
261,73,'product_name_261'
262,95,'product_name_262'
263,90,'product_name_263'
264,21,'product_name_264'
265,54,'product_name_265'
266,32,'product_name_266'
267,78,'product_name_267'
268,39,'product_name_268'
269,1,'product_name_269'
270,97,'product_name_270'
271,55,'product_name_271'
272,74,'product_name_272'
273,72,'product_name_273'
274,90,'product_name_274'
275,3,'product_name_275'
276,66,'product_name_276'
277,10,'product_name_277'
278,46,'product_name_278'
279,24,'product_name_279'
280,60,'product_name_280'
281,3,'product_name_281'
282,16,'product_name_282'
283,85,'product_name_283'
284,18,'product_name_284'
285,65,'product_name_285'
286,16,'product_name_286'
287,90,'product_name_287'
288,5,'product_name_288'
289,23,'product_name_289'
290,10,'product_name_290'
291,22,'product_name_291'
292,33,'product_name_292'
293,33,'product_name_293'
294,19,'product_name_294'
295,19,'product_name_295'
296,22,'product_name_296'
297,96,'product_name_297'
298,24,'product_name_298'
299,30,'product_name_299'
300,6,'product_name_300'
